Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
-0.300924,-0.933276,3.659893,1.511483,3.686431,-5.449268,6.745544,1.828421,1.000000
0.309465,-2.459248,4.880670,1.511483,3.381237,-3.923296,8.576710,1.523227,1.000000
1.530243,-2.764442,5.491059,1.206288,3.076042,-1.176547,7.661127,-0.002745,1.000000
3.056215,-1.543664,5.185865,-0.930073,1.855265,-2.092130,6.135155,-1.223523,1.000000
4.276992,-0.933276,3.965087,-3.982017,0.634487,-6.670046,4.914377,-1.223523,1.000000
4.582187,-1.238470,2.133921,-4.592406,0.329293,-9.416796,3.693600,-0.613134,1.000000
4.582187,-0.933276,1.218337,-2.761239,0.939682,-7.890824,2.472822,-0.613134,1.000000
3.666603,-0.017692,1.218337,-0.319684,0.634487,-5.144074,0.031267,-1.528717,1.000000
1.530243,0.287502,2.133921,0.290705,-0.281096,-3.007713,-3.936261,-2.139106,1.000000
-1.216507,-0.017692,3.965087,0.595899,-1.196679,-0.260963,-8.819371,-1.223523,1.000000
-3.047673,-0.628081,5.185865,0.595899,-1.501874,2.485786,-12.786898,-0.613134,1.000000
-2.132090,-0.017692,5.796253,-0.319684,-1.807068,3.096175,-14.312870,-0.918329,1.000000
-0.606118,0.287502,4.880670,-1.845656,-3.027846,1.265009,-13.702482,-1.833912,1.000000
-0.300924,0.287502,3.965087,-2.150850,-4.248623,0.044231,-11.566121,-1.528717,1.000000
-1.826896,-0.017692,3.965087,-1.235267,-4.553818,1.875398,-8.819371,-0.002745,1.000000
-3.658062,-0.017692,3.965087,-0.319684,-4.553818,4.927342,-5.157038,1.218032,1.000000
-4.268451,-0.017692,2.744309,0.595899,-3.943429,7.063702,-1.189511,0.912838,1.000000
-3.963257,-0.017692,1.218337,2.732260,-0.891485,9.505258,2.167628,0.302449,1.000000
-3.658062,0.897891,0.607948,4.868621,3.076042,11.641619,4.914377,0.302449,1.000000
-3.047673,2.423863,1.523532,3.953038,5.212403,11.946813,7.050738,0.302449,1.000000
-2.437285,2.423863,2.439115,0.595899,3.381237,10.420841,8.271516,0.302449,1.000000
-2.132090,0.897891,2.744309,-1.845656,0.634487,9.200063,8.576710,-0.002745,1.000000
-2.132090,-0.017692,1.828726,-0.930073,-0.281096,9.505258,8.576710,-0.002745,1.000000
-1.826896,-0.017692,0.607948,2.121871,-0.281096,8.284480,7.966321,0.302449,1.000000
-0.911313,0.592696,-0.612829,3.953038,-0.586291,4.011758,6.745544,0.302449,1.000000
0.004271,-0.017692,-0.918024,3.953038,-1.196679,0.349425,4.914377,0.302449,1.000000
0.004271,-0.933276,-0.002440,3.037455,-0.281096,0.654620,3.388405,0.607643,1.000000
-0.300924,-1.848859,-0.002440,2.732260,0.634487,4.011758,2.472822,1.218032,1.000000
-0.300924,-1.848859,-1.528412,0.901094,0.939682,4.316953,1.862433,1.218032,1.000000
0.004271,-1.848859,-3.359579,-1.235267,0.024098,0.044231,1.252044,0.912838,1.000000
0.309465,-1.543664,-2.749190,-2.456045,-0.281096,-5.449268,0.336461,1.218032,0.000000
0.004271,-0.933276,-0.612829,-1.540462,0.024098,-6.364851,-0.884316,1.828421,0.000000
-0.911313,-0.628081,-0.002440,-0.014489,-0.891485,-3.007713,-3.020677,2.133615,0.000000
-0.911313,-0.628081,-1.223218,-0.014489,-3.027846,0.044231,-4.851844,1.218032,0.000000
0.309465,-0.322887,-2.749190,-2.150850,-4.859012,-0.566158,-4.851844,-0.002745,0.000000
1.225048,-0.322887,-2.749190,-4.287211,-4.553818,-3.007713,-3.631066,-0.613134,0.000000
0.919854,-0.322887,-3.054384,-3.982017,-3.333040,-3.007713,-3.020677,-0.613134,0.000000
0.919854,-0.933276,-3.969968,-1.235267,-1.196679,0.349425,-3.325872,-1.223523,0.000000
1.835437,-0.933276,-4.275162,1.206288,0.634487,2.790981,-3.631066,-1.833912,0.000000
2.751020,-0.322887,-2.443996,1.206288,1.550070,-0.260963,-2.715483,-1.223523,0.000000
2.751020,-0.628081,-0.307635,-0.319684,0.329293,-7.890824,-1.494705,-0.002745,0.000000
1.835437,-1.238470,0.913143,-0.930073,-1.196679,-12.773934,-0.273928,0.302449,0.000000
2.140631,-1.543664,2.133921,0.290705,-0.891485,-11.247962,0.641656,-0.307940,0.000000
3.056215,-0.933276,3.965087,1.816677,0.634487,-6.059657,1.252044,-1.528717,0.000000
3.666603,-0.017692,4.575476,0.901094,1.855265,-3.312907,1.557239,-0.918329,0.000000
3.056215,-0.322887,3.049504,-0.624878,1.244876,-4.228491,1.252044,-0.002745,0.000000
2.140631,-0.628081,1.218337,-1.540462,0.024098,-5.449268,1.557239,0.302449,0.000000
1.835437,-0.322887,1.523532,-0.930073,0.634487,-4.228491,3.083211,-0.307940,0.000000
1.835437,0.287502,3.049504,0.290705,1.855265,-1.786935,5.219572,-0.918329,0.000000
1.530243,-0.017692,4.270281,1.816677,3.381237,0.044231,6.135155,-0.307940,0.000000
1.530243,-0.017692,4.270281,2.732260,4.907209,1.875398,6.135155,0.302449,0.000000
2.140631,-0.017692,4.880670,1.816677,6.433181,6.148119,6.745544,0.607643,0.000000
2.445826,0.897891,5.796253,-0.319684,5.517598,11.336424,8.576710,-0.002745,0.000000
1.835437,0.897891,6.711837,-2.761239,2.770848,13.472785,11.628654,-1.223523,0.000000
1.225048,0.287502,6.406642,-3.066434,0.329293,12.557202,13.154626,-1.528717,0.000000
1.530243,-0.017692,5.796253,-1.540462,0.634487,10.115647,11.323460,-0.002745,0.000000
2.445826,0.897891,4.575476,0.290705,2.770848,7.979286,6.745544,0.912838,0.000000
1.835437,1.203085,2.744309,1.206288,5.212403,6.453314,2.167628,0.912838,0.000000
0.614659,0.592696,0.913143,0.595899,5.517598,6.148119,0.031267,0.302449,0.000000
0.004271,-0.017692,0.302754,-1.235267,3.991626,7.674091,-0.884316,0.607643,0.000000
0.919854,-0.017692,0.913143,-2.761239,2.465654,8.589674,-1.494705,1.828421,0.000000
2.751020,1.203085,0.302754,-3.066434,1.855265,6.453314,-2.105094,1.828421,0.000000
2.751020,2.729057,-1.528412,-0.930073,1.855265,2.180592,-2.715483,0.607643,0.000000
1.530243,3.644640,-2.749190,1.816677,1.244876,0.044231,-3.020677,-0.002745,0.000000
0.614659,3.034252,-2.749190,4.563427,-0.281096,1.875398,-2.410288,0.607643,0.000000
0.309465,1.203085,-2.443996,5.173815,-1.196679,3.706564,-0.884316,1.218032,0.000000
0.004271,0.287502,-3.664773,2.732260,-0.281096,0.654620,0.031267,0.912838,0.000000
0.004271,0.897891,-4.885551,-0.624878,1.855265,-5.144074,0.031267,1.218032,0.000000
0.004271,1.203085,-4.580356,-2.761239,2.770848,-8.806407,-2.105094,2.438810,0.000000
0.004271,0.592696,-4.275162,-2.456045,1.855265,-8.806407,-4.241455,2.744004,0.000000
-0.606118,-0.322887,-5.495940,-1.845656,0.634487,-7.585629,-4.851844,1.828421,0.000000
-1.826896,-0.322887,-6.411523,-1.845656,0.634487,-6.670046,-4.546649,0.607643,0.000000
-1.216507,-0.322887,-5.495940,-2.150850,0.329293,-4.838879,-4.241455,-0.002745,0.000000
-0.606118,-0.628081,-2.749190,-0.930073,0.024098,-2.092130,-3.936261,-0.002745,0.000000
-0.911313,-0.628081,-1.223218,1.206288,0.024098,-0.260963,-2.715483,-0.918329,0.000000
-0.911313,0.897891,-1.528412,2.121871,-0.281096,-0.260963,-1.189511,-1.528717,0.000000
3.361409,2.118668,-1.528412,0.901094,-1.501874,-1.176547,0.031267,-0.613134,0.000000
11.601658,0.897891,-0.307635,-0.930073,-3.333040,-2.702519,1.557239,0.302449,0.000000
17.400352,-1.238470,1.218337,-1.540462,-3.027846,-5.754463,2.472822,0.912838,0.000000
16.179574,-2.459248,2.133921,-1.235267,0.024098,-10.942768,3.083211,0.912838,0.000000
10.380880,-1.238470,1.523532,-0.319684,3.686431,-15.825878,3.083211,1.218032,0.000000
4.276992,-0.322887,0.913143,0.290705,4.602014,-17.351850,3.388405,1.218032,0.000000
-0.300924,-0.933276,0.913143,2.121871,3.991626,-15.215489,4.609183,0.607643,0.000000
-4.878840,-1.238470,1.218337,5.479010,3.686431,-12.468740,5.524766,-0.307940,0.000000
-8.846367,-0.933276,1.523532,7.920565,4.907209,-10.027184,6.440349,-0.613134,0.000000
-11.287922,-0.628081,1.218337,6.394593,5.212403,-8.196018,7.050738,-0.002745,0.000000
-13.119089,-0.933276,0.302754,0.290705,3.991626,-6.975240,7.355933,0.302449,0.000000
-14.950255,-0.933276,0.302754,-6.118378,1.855265,-6.670046,7.050738,-0.613134,0.000000
-15.865839,-0.322887,1.828726,-7.949544,-0.281096,-6.670046,6.440349,-1.223523,0.000000
-14.645061,-0.017692,3.049504,-4.897600,-3.638235,-6.059657,6.135155,-1.223523,0.000000
-10.982728,-0.017692,2.439115,-2.150850,-7.300567,-6.364851,6.135155,-1.223523,0.000000
-7.015201,0.897891,1.523532,-2.150850,-9.742123,-7.585629,5.829961,-1.833912,0.000000
-3.963257,1.508280,1.828726,-3.066434,-9.436928,-7.280435,4.914377,-2.444301,0.000000
-2.132090,1.203085,3.049504,-2.150850,-7.300567,-1.786935,3.998794,-2.139106,0.000000
-0.606118,0.592696,2.439115,-0.014489,-5.774595,4.927342,3.693600,-0.613134,0.000000
0.309465,0.897891,1.523532,2.427066,-5.164207,6.758508,3.083211,-0.002745,0.000000
1.530243,2.423863,1.828726,4.258232,-4.553818,2.790981,0.641656,-0.002745,0.000000
3.056215,3.034252,3.965087,5.173815,-3.638235,0.044231,-1.494705,-0.613134,0.000000
