Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
-2.768103,-4.357371,3.072534,0.858388,0.308855,0.285214,1.519414,0.296043,1
-3.378491,-13.513203,0.936174,-0.667584,0.308855,0.895603,0.909025,-0.314346,1
-2.157714,-10.766453,0.936174,-0.972779,-1.522312,-0.630369,-0.311753,-0.924734,1
-0.936936,-10.766453,0.325785,0.858388,-3.963867,-1.851147,-0.922142,-0.314346,1
-0.326547,-15.954758,-1.505382,1.773971,-4.574256,-0.325175,0.298636,-0.009151,1
-0.326547,-19.006702,-4.557326,-0.667584,-2.743089,1.200797,1.824608,-1.535123,1
-0.021353,-16.870342,-8.219659,-4.635111,-0.911923,0.895603,2.129802,-3.671484,1
0.283841,-8.630093,-13.713158,-5.855889,-0.301534,0.285214,1.214219,-4.281873,1
1.199425,9.986766,-22.86899,-2.498751,-0.301534,2.421575,0.60383,-3.976679,1
2.420202,35.928291,-35.076767,2.38436,-0.301534,5.778714,0.298636,-3.671484,1
3.64098,52.408789,-43.62221,6.962276,-0.911923,5.778714,-0.006558,-2.145512,1
3.64098,46.304901,-41.180655,9.098637,-0.911923,2.116381,-0.616947,1.211626,1
2.420202,24.941292,-27.141712,8.183054,0.308855,-0.630369,-1.53253,5.179154,1
0.89423,8.1556,-9.745631,4.215526,1.834827,-0.01998,-1.837725,5.484348,1
-0.021353,4.188073,2.156951,0.553193,0.308855,1.811186,-1.227336,3.347987,1
-0.631742,6.629628,10.092006,-0.057195,-1.522312,2.116381,-0.006558,1.822015,1
-0.021353,4.493267,20.163421,0.553193,-0.301534,1.505992,1.519414,2.12721,1
0.283841,-3.746982,29.929642,-0.36239,3.360799,1.505992,2.434997,1.516821,1
-0.631742,-12.902814,29.929642,-3.414334,4.886771,1.811186,2.129802,-0.924734,1
-3.378491,-15.039175,16.806283,-3.414334,1.529633,1.505992,0.909025,-2.450707,1
-4.904463,-8.935287,1.241368,-0.36239,-1.827506,0.895603,-0.006558,-0.314346,1
-3.073297,-1.000232,-4.252131,1.163582,-0.911923,0.285214,-0.311753,2.432404,1
0.283841,1.441323,-2.420965,-0.667584,1.529633,-0.01998,-0.006558,3.653182,1
2.115008,-1.305427,-3.031354,-2.498751,1.529633,-1.851147,0.298636,1.822015,1
1.199425,-3.136593,-8.830047,-0.667584,-1.217117,-3.987508,-0.006558,-0.61954,1
-0.021353,-1.305427,-12.49238,3.299943,-3.658672,-5.51348,-0.616947,-3.976679,1
-0.936936,0.830934,-8.524853,5.13111,-3.963867,-6.123868,-0.311753,-6.113039,1
-1.852519,0.52574,-1.505382,4.215526,-3.963867,-5.208285,0.60383,-5.502651,1
-3.073297,-0.695038,2.156951,2.994749,-4.574256,-3.071924,1.214219,-2.145512,1
-3.073297,-0.084649,1.546562,1.773971,-4.87945,-0.325175,0.909025,0.906432,1
-0.326547,3.577684,-0.894993,-0.667584,-3.963867,1.811186,0.298636,1.822015,0
3.335786,8.460794,-3.336548,-3.719528,-3.048284,3.337158,0.60383,1.211626,0
6.38773,10.90235,-3.031354,-3.719528,-2.743089,3.337158,1.519414,0.906432,0
7.303313,8.1556,0.630979,-1.888362,-1.827506,2.116381,1.824608,1.211626,0
5.777341,2.051712,6.429673,-1.583167,0.308855,0.590409,0.909025,0.906432,0
2.725397,-3.441788,10.092006,-3.109139,2.445216,0.895603,-0.006558,0.906432,0
-0.021353,-7.104121,9.786811,-3.719528,2.445216,2.726769,-0.311753,2.12721,0
