Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
-2.424320,5.497617,-22.290783,-0.211699,-1.826896,-0.604288,1.536496,3.368730,1.000000
-2.424320,11.296311,-26.258311,-0.516893,-0.911313,-1.825066,1.841690,2.758341,1.000000
-2.424320,14.043061,-25.037533,-0.822088,0.309465,-2.740649,0.620913,2.453147,1.000000
-2.424320,12.211894,-20.154422,0.703884,0.004271,-2.740649,-0.294670,2.758341,1.000000
-2.119126,7.023589,-12.524562,3.755828,-2.132090,-2.740649,-0.599865,3.673924,1.000000
-1.508737,4.276840,-3.673924,3.755828,-2.437285,-3.045843,-0.294670,2.453147,1.000000
-1.203543,7.633978,3.650741,0.093495,0.004271,-3.656232,-0.599865,0.011592,1.000000
-1.813932,10.991117,5.787102,-1.737671,2.445826,-3.351038,-0.905059,-1.514380,1.000000
-2.424320,8.549561,4.261130,0.703884,2.445826,-1.519871,-0.905059,-1.514380,1.000000
-2.119126,1.530090,3.040352,6.502578,0.919854,0.006101,-0.599865,-0.903992,1.000000
-1.813932,-3.047826,3.650741,9.859716,0.004271,-0.299094,-0.599865,-0.903992,1.000000
-3.034709,-3.658215,3.650741,9.249328,0.004271,-1.519871,-1.210254,-1.209186,1.000000
-5.171070,-3.963409,2.735158,6.807772,-0.606118,-2.130260,-1.210254,-0.598797,1.000000
-6.391848,-5.794576,3.040352,5.586995,-0.911313,-2.130260,-0.294670,-0.293603,1.000000
-5.171070,-7.320548,3.955936,4.976606,-0.606118,-1.825066,0.315718,-0.903992,1.000000
-3.339904,-6.404964,2.429964,4.366217,-1.521701,-1.214677,0.620913,-0.293603,1.000000
-3.034709,-4.878992,-0.011592,3.145439,-2.437285,0.616490,0.620913,0.927175,1.000000
-3.339904,-3.047826,0.598797,1.314273,-2.132090,3.363239,1.841690,1.537564,1.000000
-2.119126,-1.216660,4.566325,-0.211699,0.004271,4.278823,3.672857,0.011592,1.000000
-0.287960,0.004118,6.702685,-0.822088,2.140631,3.668434,4.893634,-0.903992,1.000000
0.017235,-1.216660,4.871519,-0.516893,2.140631,2.752851,4.588440,-0.598797,1.000000
-0.898348,-3.047826,2.735158,-0.211699,0.919854,2.142462,3.672857,-0.293603,1.000000
-2.119126,-0.911465,3.040352,-0.516893,0.004271,0.921684,2.452079,-1.514380,1.000000
-1.813932,3.056062,2.124769,-2.348060,-0.911313,0.006101,0.926107,-2.735158,1.000000
-0.898348,2.140479,-3.368730,-4.484421,-2.132090,0.616490,-0.294670,-2.429964,1.000000
-0.287960,-5.489381,-8.557035,-6.010393,-2.132090,3.363239,-0.599865,-1.209186,1.000000
0.017235,-12.814047,-6.725869,-4.789615,0.004271,5.194406,0.010524,-0.903992,1.000000
0.627624,-12.814047,0.598797,-1.432477,1.530243,5.804795,1.536496,-1.209186,1.000000
0.932818,-10.067297,5.176713,0.703884,0.004271,6.109989,1.841690,-0.293603,1.000000
0.017235,-10.067297,2.124769,-1.127282,-2.742479,7.330767,1.231302,0.011592,1.000000
-1.203543,-10.067297,-3.979119,-5.400004,-3.658062,7.635961,0.620913,-0.293603,0.000000
-0.287960,-4.878992,-6.420674,-6.620782,-2.742479,6.415183,0.620913,-1.209186,0.000000
1.238012,1.835285,-2.453147,-2.958449,-2.132090,5.194406,1.841690,-0.903992,0.000000
2.153596,5.802812,4.871519,0.093495,-2.132090,4.584017,3.672857,0.011592,0.000000
1.543207,8.549561,11.280601,-0.516893,-1.826896,3.363239,4.283246,0.621980,0.000000
1.238012,13.127478,13.416962,-3.874032,0.004271,0.921684,2.757274,0.011592,0.000000
2.458790,14.348255,12.196185,-4.789615,0.614659,-0.909482,0.926107,0.011592,0.000000
3.679568,8.244367,11.280601,-3.263643,0.004271,-1.825066,0.620913,0.621980,0.000000
3.679568,3.666451,13.416962,-2.653254,-0.911313,-2.435454,1.536496,1.842758,0.000000
1.543207,10.380728,16.468906,-3.263643,-0.911313,-4.266621,1.536496,3.063536,0.000000
-1.508737,17.705394,17.994878,-2.042866,-1.216507,-7.013371,-0.905059,3.979119,0.000000
-4.865876,8.244367,14.027351,0.703884,-1.521701,-8.539343,-4.262198,3.979119,0.000000
-7.307431,-10.677686,3.345547,2.535051,-1.216507,-9.760120,-6.703753,3.673924,0.000000
-8.223014,-13.119241,-12.524562,1.619467,0.004271,-12.201675,-8.840114,4.284313,0.000000
-7.612625,5.497617,-25.647922,0.093495,0.614659,-14.643231,-10.366086,5.810285,0.000000
-7.002237,18.010588,-25.037533,0.703884,0.004271,-14.338036,-11.281669,6.725869,0.000000
-7.612625,5.802812,-10.388201,1.619467,-0.300924,-9.760120,-9.755697,4.894702,0.000000
-8.223014,-11.288075,5.787102,0.398690,0.004271,-3.961426,-6.703753,1.842758,0.000000
-7.307431,-8.236131,11.280601,-1.127282,0.004271,-0.299094,-3.346615,0.011592,0.000000
-5.476264,7.633978,5.787102,-1.127282,-1.216507,-0.299094,-0.599865,0.011592,0.000000
-5.476264,12.822283,-1.232369,0.398690,-3.047673,-1.825066,0.620913,0.011592,0.000000
-7.917820,3.971645,-3.063536,1.924662,-3.963257,-2.130260,0.315718,-0.293603,0.000000
-9.443792,-2.132243,-1.537564,2.840245,-3.352868,-1.214677,-1.210254,-1.209186,0.000000
-7.917820,0.614507,-0.927175,4.671411,-3.352868,0.006101,-2.431031,-2.124769,0.000000
