Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
20.160066,-1.521854,-4.589508,8.333744,0.919854,1.532073,4.588440,-0.293603,1.000000
20.160066,0.004118,-4.284313,10.470105,0.004271,2.447656,3.062468,0.011592,1.000000
19.854871,0.004118,-2.758341,11.080494,-0.300924,2.752851,0.315718,1.232369,1.000000
20.465260,-1.216660,-1.232369,10.775300,0.004271,2.752851,-0.599865,2.453147,1.000000
21.075649,-0.911465,-0.621980,10.470105,1.225048,2.142462,0.315718,2.758341,1.000000
19.854871,2.140479,-1.232369,10.164911,2.140631,1.532073,1.536496,1.537564,1.000000
18.023705,5.192423,-1.537564,8.944133,1.530243,0.311295,1.231302,0.011592,1.000000
17.718511,5.497617,-1.537564,6.502578,0.919854,-1.214677,0.620913,-0.598797,1.000000
18.939288,4.582034,-1.537564,4.671411,0.309465,-2.130260,0.315718,-0.293603,1.000000
19.244483,4.276840,-1.232369,4.671411,0.309465,-0.909482,0.926107,0.011592,1.000000
18.634094,4.276840,-0.621980,4.671411,0.004271,0.921684,1.536496,0.011592,1.000000
17.413316,3.056062,-0.011592,3.755828,-0.300924,2.142462,1.231302,-0.903992,1.000000
15.887344,0.919701,0.293603,1.314273,0.004271,1.837267,0.010524,-1.819575,1.000000
14.056178,-0.606271,0.293603,-1.127282,0.309465,1.226878,-0.905059,-1.819575,1.000000
12.225011,-1.827048,0.598797,-2.653254,0.309465,1.226878,-0.905059,-0.598797,1.000000
11.919817,-3.047826,0.903992,-3.568838,-0.300924,1.532073,0.010524,0.927175,1.000000
12.530206,-4.268604,1.209186,-4.179226,-1.521701,1.532073,0.620913,1.537564,1.000000
13.445789,-5.489381,1.514380,-4.789615,-2.132090,1.532073,0.010524,0.011592,1.000000
13.445789,-7.015353,1.819575,-5.094810,-1.826896,2.142462,-0.599865,-1.819575,1.000000
13.750983,-7.930937,2.124769,-5.094810,-0.300924,3.668434,-0.599865,-2.124769,1.000000
14.056178,-7.015353,1.514380,-6.315587,1.835437,4.584017,-0.294670,-0.598797,1.000000
14.361372,-4.878992,0.598797,-8.146754,3.056215,4.584017,0.010524,0.011592,1.000000
