Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
-0.617862,-5.504938,4.271807,1.535581,0.613287,1.231302,0.299246,-0.290857,1.000000
0.297721,-7.641299,2.135446,1.840775,1.528870,0.010524,1.520024,0.014337,1.000000
4.265248,-12.219215,-0.000915,0.925192,0.613287,0.010524,3.045996,1.845503,1.000000
8.232775,-14.050382,2.135446,1.230386,-0.912685,1.536496,3.045996,3.066281,1.000000
8.843164,-8.251688,4.271807,3.061553,-2.133463,3.062468,2.740801,1.845503,1.000000
6.706803,1.819727,-1.526887,3.366747,-2.133463,2.452079,3.045996,0.014337,1.000000
3.960054,7.313227,-12.819080,1.535581,-1.828269,0.620913,3.351190,-0.290857,1.000000
1.823693,4.566477,-15.871024,0.009609,-2.438657,0.010524,1.825218,0.624726,1.000000
-0.007474,0.904144,-6.409998,0.619998,-3.964629,0.010524,-0.005948,1.235115,1.000000
-1.533446,3.345699,3.966612,1.230386,-4.269824,0.926107,-0.311143,0.624726,1.000000
-2.449029,9.754782,5.492584,-0.295586,-1.828269,1.841690,-0.005948,-0.901246,1.000000
-1.838640,12.501532,0.914668,-3.347530,1.528870,3.978051,0.299246,-1.511635,1.000000
-0.312668,8.534004,-1.221693,-3.347530,2.444453,4.893634,-0.616337,-0.290857,1.000000
0.908110,1.819727,-0.611304,0.009609,0.308092,3.672857,-1.226726,1.845503,1.000000
2.434082,-3.063383,-0.916498,0.925192,-0.912685,1.231302,-0.311143,3.066281,1.000000
2.739276,-4.284161,-2.442470,-1.821558,0.308092,0.620913,0.909635,2.150698,1.000000
1.823693,-3.063383,-1.832082,-5.789085,2.444453,1.841690,2.435607,0.929920,1.000000
-0.007474,-0.316633,-0.000915,-5.483891,0.918481,1.536496,3.961579,0.929920,1.000000
-0.312668,1.819727,-0.000915,-2.126752,-2.438657,-1.210254,4.266773,1.540309,1.000000
-0.007474,2.430116,-0.611304,-0.295586,-3.354241,-5.177781,2.130413,0.319531,1.000000
-1.533446,1.209339,0.304279,-1.821558,-0.302297,-6.398559,-0.311143,-1.206441,1.000000
-4.585390,-0.011439,2.135446,-3.652724,2.139259,-4.872587,-1.837115,-0.901246,1.000000
-5.806167,0.293755,1.219863,-3.652724,1.834064,-3.041420,-0.921532,0.319531,1.000000
-3.669806,1.209339,-2.137276,-2.431946,0.613287,-2.431031,-0.616337,0.929920,1.000000
-0.617862,0.293755,-3.968442,-2.126752,0.918481,-1.210254,-2.447504,-0.290857,1.000000
-0.007474,-0.621828,-2.747665,-2.431946,1.223676,0.620913,-3.668281,-1.206441,1.000000
-0.312668,-0.621828,-0.916498,-2.431946,0.002898,1.841690,-2.752698,-0.901246,1.000000
-0.923057,-0.011439,-0.611304,-2.126752,-1.523074,0.926107,-0.921532,-0.901246,1.000000
-0.923057,-1.232217,-2.137276,-1.821558,-0.912685,0.010524,-0.921532,-2.427218,1.000000
-0.007474,-4.284161,-4.273637,-0.600780,0.002898,1.231302,-0.921532,-2.732413,1.000000
3.960054,-4.894550,-5.494414,0.925192,-0.302297,2.452079,0.604440,-0.290857,0.000000
9.148359,-0.927022,-4.884026,2.756358,-1.217880,1.231302,3.045996,1.845503,0.000000
11.284720,3.345699,-2.442470,2.451164,-0.607491,-1.820643,2.435607,1.235115,0.000000
7.622387,4.566477,-0.611304,1.535581,0.308092,-3.651809,-0.311143,-0.290857,0.000000
2.434082,2.735311,-1.526887,2.756358,0.002898,-2.431031,-2.447504,-0.290857,0.000000
0.602915,1.514533,-3.358054,5.503108,-0.912685,-0.294670,-0.616337,0.929920,0.000000
2.434082,0.904144,-4.273637,7.334275,-1.828269,0.010524,1.520024,1.540309,0.000000
2.739276,-0.927022,-3.663248,6.723886,-1.523074,-0.905059,1.825218,1.235115,0.000000
-0.007474,-3.063383,-2.442470,4.892719,-1.217880,-1.820643,0.299246,0.929920,0.000000
-2.449029,-2.452994,-2.137276,3.671942,-1.217880,-2.125837,-0.005948,0.929920,0.000000
-2.754223,-0.011439,-3.052859,3.366747,-0.302297,-2.125837,0.909635,-0.290857,0.000000
-1.533446,1.209339,-4.578831,2.451164,0.918481,-1.820643,1.214829,-2.732413,0.000000
-1.838640,0.598950,-4.884026,0.009609,1.834064,-0.599865,-0.005948,-3.647996,0.000000
-2.754223,-0.011439,-3.663248,-1.821558,2.139259,0.620913,-1.531920,-2.427218,0.000000
-2.449029,-0.621828,-2.442470,-3.042335,2.139259,0.926107,-1.531920,-1.206441,0.000000
-0.617862,-1.842606,-3.052859,-3.042335,1.528870,0.620913,-0.616337,-0.290857,0.000000
0.297721,-2.758189,-4.884026,-2.737141,0.002898,0.315718,0.299246,0.929920,0.000000
-0.007474,-2.758189,-4.884026,-2.431946,-2.133463,0.620913,0.909635,2.761087,0.000000
-0.617862,-2.147800,-3.358054,-2.431946,-2.743852,0.010524,0.604440,2.150698,0.000000
-1.838640,-2.147800,-2.747665,-3.347530,-1.828269,-0.599865,0.299246,0.014337,0.000000
-2.143834,-3.063383,-3.663248,-4.263113,-0.607491,-0.599865,-0.005948,-1.816829,0.000000
-3.059418,-3.673772,-3.968442,-4.263113,0.002898,0.010524,-0.005948,-0.901246,0.000000
-3.669806,-4.284161,-2.442470,-2.737141,-0.607491,0.620913,-0.005948,0.319531,0.000000
-3.059418,-4.589355,-1.221693,-1.516363,-1.217880,0.010524,-0.005948,0.319531,0.000000
-1.533446,-4.589355,-1.832082,-1.821558,-2.133463,-0.599865,-0.005948,0.014337,0.000000
-0.617862,-2.758189,-3.052859,-2.431946,-2.438657,-0.294670,0.604440,0.319531,0.000000
-0.617862,-0.316633,-1.526887,-1.211169,-2.133463,0.010524,0.909635,1.540309,0.000000
-0.007474,1.209339,1.525057,0.009609,-1.828269,0.010524,0.909635,1.845503,0.000000
3.349665,2.124922,4.271807,-0.905974,-2.133463,0.315718,0.909635,1.845503,0.000000
7.927581,3.345699,4.882195,-3.042335,-2.438657,1.841690,2.740801,2.455892,0.000000
9.453553,4.871671,4.577001,-2.737141,-2.438657,3.367662,5.182357,2.455892,0.000000
7.317192,7.313227,4.577001,0.009609,-2.438657,3.062468,5.792745,0.624726,0.000000
3.654859,11.891143,5.797779,1.535581,-3.049046,1.536496,3.656385,-2.122024,0.000000
1.823693,17.384642,8.544528,-0.295586,-3.659435,0.315718,1.214829,-3.037607,0.000000
1.518499,19.826197,11.596472,-3.347530,-3.354241,0.010524,-0.005948,-1.206441,0.000000
1.213304,16.469059,13.122444,-4.873502,-1.828269,-0.294670,-0.311143,0.929920,0.000000
1.213304,9.449588,11.291278,-5.178696,0.002898,-1.210254,-0.921532,1.845503,0.000000
1.213304,3.345699,8.849723,-4.873502,0.002898,-1.210254,-1.531920,1.845503,0.000000
0.297721,-1.537411,8.849723,-2.737141,-1.523074,0.010524,-1.531920,1.845503,0.000000
-2.754223,-7.641299,10.375695,0.925192,-3.049046,0.926107,-2.142309,1.235115,0.000000
-5.806167,-13.134799,8.544528,3.671942,-3.354241,0.010524,-2.752698,-0.290857,0.000000
-6.721750,-14.050382,3.356223,3.366747,-2.133463,-1.210254,-2.752698,-2.427218,0.000000
-5.806167,-10.082855,-0.000915,1.230386,-0.912685,-0.599865,-0.616337,-3.342802,0.000000
-4.890584,-5.504938,1.219863,0.619998,-0.607491,0.620913,0.909635,-1.816829,0.000000
-4.280195,-3.978966,0.304279,1.230386,-1.217880,0.315718,0.604440,0.929920,0.000000
-3.364612,-4.284161,-6.715192,1.230386,-2.133463,-1.210254,-0.311143,2.761087,0.000000
-2.143834,-3.063383,-14.650247,0.619998,-1.828269,-1.210254,-0.311143,1.540309,0.000000
-1.838640,-0.621828,-15.260636,0.619998,-0.607491,0.315718,0.604440,-1.206441,0.000000
-1.533446,1.209339,-9.156747,1.535581,0.918481,1.841690,0.299246,-3.647996,0.000000
-0.617862,1.819727,-3.358054,2.756358,1.528870,1.231302,-0.311143,-4.563579,0.000000
-0.007474,0.904144,-0.916498,4.587525,0.918481,0.010524,-0.005948,-4.258385,0.000000
-0.007474,-0.011439,-0.000915,5.808303,0.002898,0.010524,2.130413,-3.342802,0.000000
-0.007474,-0.927022,0.609474,3.977136,-0.302297,0.010524,3.045996,-0.901246,0.000000
0.297721,-1.537411,-0.611304,0.009609,0.308092,0.010524,1.825218,1.845503,0.000000
-0.007474,-1.232217,-0.611304,-2.431946,0.918481,-1.210254,-0.311143,3.676670,0.000000
-2.449029,-0.927022,1.525057,-0.295586,0.918481,-2.431031,-1.226726,2.761087,0.000000
-5.195778,-0.927022,1.219863,2.756358,0.308092,-3.957003,-1.531920,0.319531,0.000000
-4.585390,-1.232217,-7.325581,2.756358,0.613287,-5.482975,-1.531920,-0.596052,0.000000
-1.533446,-0.316633,-16.786608,-0.295586,1.528870,-4.872587,-1.531920,-0.596052,0.000000
-0.617862,0.293755,-14.345052,-2.431946,1.834064,-2.125837,-1.226726,0.014337,0.000000
-2.143834,0.293755,-1.832082,-1.821558,0.918481,0.010524,-1.226726,1.540309,0.000000
-1.838640,-0.011439,5.187390,-0.600780,-0.302297,0.620913,-0.921532,3.676670,0.000000
3.349665,1.819727,0.304279,-0.600780,0.002898,0.926107,-0.311143,3.371475,0.000000
10.369136,5.482060,-5.799609,-2.431946,2.749648,4.283246,1.214829,-0.290857,0.000000
13.726275,7.923616,-4.273637,-4.263113,4.886008,7.945579,3.045996,-5.173968,0.000000
11.589914,7.008032,0.304279,-4.263113,3.970425,7.945579,3.656385,-5.173968,0.000000
7.011998,3.040505,-0.000915,-2.431946,1.223676,4.283246,2.435607,0.014337,0.000000
4.265248,-1.232217,-3.052859,-0.295586,0.002898,0.010524,0.604440,5.507836,0.000000
2.739276,-3.978966,-3.663248,-0.905974,1.223676,-2.431031,-0.311143,6.423420,0.000000
1.823693,-5.199744,-1.221693,-4.263113,2.139259,-3.041420,-0.311143,3.676670,0.000000
0.602915,-4.589355,-0.000915,-6.704668,1.528870,-2.736226,-0.311143,0.319531,0.000000
-0.923057,-4.284161,-0.306110,-5.483891,0.002898,-1.820643,-0.311143,-1.206441,0.000000
-2.754223,-6.115327,-0.611304,-1.821558,-0.912685,-1.210254,-0.311143,-2.122024,0.000000
-4.280195,-9.777660,-0.000915,0.314803,-1.217880,-1.515448,-0.005948,-2.732413,0.000000
-4.890584,-11.303632,1.525057,0.009609,-1.217880,-1.820643,-0.005948,-2.122024,0.000000
-4.890584,-9.167271,4.882195,-1.821558,-0.607491,-0.599865,-1.226726,-1.206441,0.000000
-3.669806,-6.725716,7.018556,-2.126752,0.613287,1.231302,-2.142309,-1.206441,0.000000
-0.617862,-4.589355,3.966612,-0.600780,2.139259,1.231302,-1.226726,-2.122024,0.000000
3.044471,1.209339,-0.611304,0.925192,2.444453,-0.599865,0.604440,-1.816829,0.000000
5.180831,12.196337,-0.000915,1.535581,1.834064,-2.431031,2.130413,-0.290857,0.000000
3.960054,20.131392,7.323751,0.314803,1.834064,-1.210254,1.825218,0.014337,0.000000
0.297721,18.300225,11.596472,-0.600780,2.749648,1.536496,0.604440,-0.901246,0.000000
-1.533446,12.501532,9.460112,0.009609,3.970425,3.978051,-0.005948,-2.122024,0.000000
-0.617862,10.365171,6.713362,1.840775,3.360036,5.198829,-0.005948,-1.511635,0.000000
1.518499,9.144393,7.323751,3.671942,0.308092,5.809218,-0.005948,0.014337,0.000000
1.823693,2.430116,6.102973,4.587525,-2.743852,6.114412,-0.311143,0.319531,0.000000
0.297721,-4.589355,0.609474,4.587525,-3.964629,4.893634,-0.311143,-0.901246,0.000000
-0.617862,-1.232217,-1.832082,3.977136,-3.354241,2.452079,-0.005948,-2.122024,0.000000
-0.007474,9.754782,2.135446,2.145970,-2.438657,0.010524,-0.005948,-1.206441,0.000000
1.518499,14.943087,7.018556,0.009609,-1.217880,-2.125837,-0.311143,0.319531,0.000000
1.823693,9.449588,3.966612,0.009609,0.308092,-4.262198,-1.531920,1.235115,0.000000
1.213304,3.650894,-2.442470,1.840775,2.444453,-6.093364,-2.142309,0.624726,0.000000
1.213304,1.514533,-4.578831,3.061553,3.360036,-7.008947,-1.226726,0.014337,0.000000
1.823693,-1.232217,-2.137276,1.535581,2.139259,-6.703753,-0.005948,0.014337,0.000000
1.213304,-6.420522,-0.916498,-0.905974,1.528870,-5.788170,0.909635,0.014337,0.000000
-0.007474,-7.336105,-1.526887,-1.821558,2.749648,-6.093364,0.604440,0.014337,0.000000
-1.838640,-4.284161,1.219863,-0.600780,3.970425,-6.703753,-0.311143,0.624726,0.000000
-2.754223,-5.504938,6.102973,0.314803,3.360036,-6.703753,-1.226726,1.235115,0.000000
-3.364612,-10.998438,7.018556,0.009609,1.834064,-4.567392,-1.531920,1.235115,0.000000
-4.280195,-11.303632,3.661418,-1.211169,0.918481,-2.125837,-1.837115,1.235115,0.000000
-4.585390,-7.641299,1.830251,-1.821558,0.918481,-0.905059,-1.837115,1.235115,0.000000
-3.975001,-12.219215,3.661418,-1.516363,0.613287,-0.599865,-0.921532,0.929920,0.000000
-3.059418,-23.816603,4.271807,-1.516363,0.002898,0.620913,0.299246,0.319531,0.000000
-1.838640,-26.563353,1.219863,-2.126752,0.613287,3.367662,1.825218,0.014337,0.000000
0.908110,-14.355576,-2.442470,-3.042335,1.528870,5.504023,3.045996,0.319531,0.000000
4.570443,-1.232217,-4.578831,-3.652724,0.918481,5.198829,3.656385,0.929920,0.000000
6.401609,3.650894,-3.663248,-3.652724,-0.302297,2.757274,2.740801,0.624726,0.000000
4.875637,12.196337,-0.000915,-3.347530,-1.217880,0.620913,0.909635,-0.596052,0.000000
1.823693,32.644363,5.492584,-3.347530,-0.607491,0.010524,-0.921532,-0.901246,0.000000
0.297721,47.598889,8.544528,-3.957918,0.308092,1.536496,-1.837115,0.014337,0.000000
0.908110,37.832667,5.187390,-4.263113,0.308092,3.978051,-1.226726,0.624726,0.000000
1.518499,10.059976,-1.526887,-2.737141,0.002898,5.504023,0.299246,0.929920,0.000000
0.602915,-10.082855,-4.578831,0.009609,0.002898,5.198829,1.825218,0.014337,0.000000
-1.228251,-12.829604,-2.442470,2.145970,0.002898,3.062468,1.825218,0.014337,0.000000
-2.754223,-6.420522,0.304279,1.535581,-0.302297,1.231302,0.909635,-0.290857,0.000000
-3.059418,-2.452994,0.914668,0.009609,0.002898,0.010524,-0.005948,-0.290857,0.000000
