Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
-5.547492,13.418945,0.915278,14.028114,-23.593465,13.746560,9.481159,15.280616,1.000000
5.744701,15.555306,2.441250,8.839809,-7.112967,11.610199,7.955187,13.754644,1.000000
-34.235766,13.113751,2.136056,3.346309,3.874032,8.863450,7.039604,7.345561,1.000000
-87.644787,8.841029,0.304889,0.904754,7.841559,7.642672,7.039604,4.598811,1.000000
-107.787618,7.315057,-0.610694,3.346309,2.958449,5.811506,7.344799,8.871533,1.000000
-97.716203,10.061807,-0.000305,5.482670,-11.385688,2.149173,7.955187,12.839060,1.000000
-86.424010,13.724140,1.220473,2.125532,-29.086964,-1.513160,9.175965,9.176728,1.000000
-79.709733,14.334528,1.830861,-4.588745,-34.885658,-2.428744,8.870771,2.462451,1.000000
-66.281179,10.977390,0.610084,-10.387439,-23.593465,-0.902771,5.513632,3.072839,1.000000
-54.988986,4.263113,-0.305499,-12.523800,-6.197383,-0.902771,1.240910,10.702700,1.000000
-57.125347,-2.756358,-0.610694,-13.439383,2.653254,-3.039132,-1.200645,16.196199,1.000000
-54.378597,-8.555052,-1.221083,-13.744577,1.432477,-4.565104,-1.505839,14.670227,1.000000
-25.995517,-10.996607,-3.357444,-13.134189,-4.366217,-2.733938,-0.895450,11.923477,1.000000
3.303146,-10.691413,-5.188610,-11.303022,-11.996077,0.012812,-0.895450,13.754644,1.000000
-12.566963,-9.470635,-4.578221,-9.166661,-18.405160,-0.292383,-2.116228,16.806588,1.000000
-72.995456,-7.944663,-2.441860,-7.945884,-15.048021,-2.428744,-3.337006,13.754644,1.000000
-127.930449,-5.808303,-1.831471,-8.556272,4.179226,-1.818355,-3.337006,2.767645,1.000000
-147.462891,-3.671942,-3.662638,-12.218605,31.646723,2.454367,-0.895450,-9.440131,1.000000
-147.157697,-1.535581,-6.104193,-16.491327,51.484360,7.642672,2.766882,-16.459603,1.000000
-145.631725,1.211169,-6.409388,-18.017299,56.062276,7.947866,5.818827,-18.290769,1.000000
-135.255115,4.568307,-3.357444,-15.880938,49.042804,4.285533,6.429215,-18.901158,1.000000
-109.923979,5.483891,0.915278,-12.523800,37.750611,1.233589,4.292854,-21.647908,1.000000
-77.573372,2.431946,5.493194,-10.082244,26.153224,2.454367,1.546105,-23.479074,1.000000
-32.404600,-2.145970,7.324361,-8.251078,18.523364,6.116700,0.020133,-21.953102,1.000000
46.640752,-4.892719,6.713972,-6.114717,16.997391,7.337478,-0.285062,-18.290769,1.000000
150.406851,-3.671942,6.103583,-4.283551,17.302586,4.895922,0.020133,-16.154408,1.000000
230.062591,-1.535581,6.713972,-3.673162,13.029864,1.538784,0.020133,-14.933631,1.000000
254.478144,-0.925192,8.239944,-3.367967,6.315587,0.623201,0.020133,-14.018047,1.000000
245.932700,-1.840775,7.629555,-1.231607,4.789615,1.233589,0.325327,-16.459603,1.000000
237.387257,-3.061553,6.103583,1.820337,9.367531,0.623201,0.935716,-22.868685,1.000000
223.958703,-3.366747,5.188000,5.177476,10.588309,-1.207966,0.630522,-25.920629,1.000000
183.062652,-2.145970,5.493194,7.008642,2.348060,-2.733938,0.325327,-19.816741,0.000000
