Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
2.115008,10.597155,-6.083298,-42.784412,-5.795033,4.252741,3.045386,-0.619540,1.000000
1.809814,7.850405,-5.778103,-44.005190,-6.710616,2.421575,2.129802,1.211626,1.000000
1.809814,-1.305427,-9.440436,-30.271442,-7.626200,-0.935563,0.909025,0.601238,1.000000
1.809814,-11.987231,-12.187186,-22.946776,-7.321005,-3.682313,-0.006558,-0.619540,1.000000
0.894230,-13.208009,-8.524853,-32.407803,-5.489839,-3.987508,-0.922142,-0.009151,1.000000
-0.021353,-4.052176,-1.200187,-44.005190,-0.911923,-1.851147,-1.532530,3.042793,1.000000
-0.021353,6.934822,3.988118,-44.310384,3.665993,1.200797,-1.227336,6.399931,1.000000
2.115008,11.817933,5.514090,-39.732468,7.328326,3.337158,-0.311753,6.705126,1.000000
3.946174,7.545211,3.377729,-38.206496,8.854298,4.252741,0.603830,3.958376,1.000000
3.946174,0.220545,-0.589798,-35.154552,7.633521,4.863130,1.824608,1.211626,1.000000
3.335786,-3.136593,-3.641743,-24.472748,4.581577,4.863130,2.129802,-0.619540,1.000000
3.335786,0.830934,-2.726159,-13.485749,0.919244,3.642353,1.214219,-1.840318,1.000000
2.725397,7.850405,2.156951,-10.433805,-1.217117,1.200797,-0.006558,-1.229929,1.000000
0.589036,10.291961,7.040062,-12.264972,-1.522312,-0.630369,-0.922142,0.296043,1.000000
-1.852519,6.629628,9.176423,-9.213028,-0.606728,-2.156341,-1.837725,2.432404,1.000000
-3.683686,1.136129,8.566034,-0.362390,0.003661,-3.682313,-3.363697,3.653182,1.000000
-3.988880,-2.831399,7.040062,6.962276,0.003661,-4.292702,-3.974086,3.653182,1.000000
-3.988880,-3.746982,4.598506,10.624609,-2.132700,-1.851147,-2.142919,2.737598,1.000000
-2.768103,0.220545,2.462146,13.981747,-4.574256,1.811186,0.298636,2.432404,1.000000
-0.631742,5.714045,0.936174,21.001219,-5.489839,3.031964,0.603830,2.737598,1.000000
-0.021353,7.240017,0.325785,30.157051,-2.743089,-0.019980,-2.142919,3.042793,1.000000
-1.547325,5.714045,1.546562,34.734967,2.750410,-4.292702,-4.279280,2.432404,1.000000
-4.294075,11.207544,5.208895,31.072634,7.633521,-4.903091,-3.363697,0.906432,1.000000
-5.209658,26.772459,9.176423,27.105107,8.854298,-2.156341,-1.227336,-0.009151,1.000000
-2.462908,38.675041,7.040062,32.293412,6.107549,-0.325175,-0.616947,0.601238,1.000000
1.199425,31.960764,-2.115771,44.501188,2.750410,-0.935563,-1.227336,2.127210,1.000000
3.030591,10.291961,-11.271603,49.994688,2.140021,-0.935563,-0.922142,1.516821,1.000000
1.504619,-7.104121,-13.102769,43.585605,3.360799,0.285214,0.603830,-0.619540,1.000000
-1.547325,-12.597620,-8.830047,35.650550,2.750410,1.505992,2.434997,-2.450707,1.000000
-3.988880,-10.766453,-6.083298,34.429773,0.003661,0.590409,3.350580,-2.450707,1.000000
-4.904463,-8.935287,-6.693687,32.293412,-3.048284,-0.630369,3.350580,-2.450707,0.000000
-5.209658,-5.883343,-6.388492,21.001219,-3.353478,-1.240758,3.045386,-2.755901,0.000000
-6.125241,-0.389844,-3.946937,10.014220,-1.522312,-0.935563,1.824608,-2.755901,0.000000
-5.820047,3.577684,-2.420965,10.319415,-0.911923,-1.240758,-0.006558,-1.840318,0.000000
-3.073297,3.882878,-3.336548,14.897331,-0.301534,-0.325175,-0.922142,-0.314346,0.000000
0.894230,3.577684,-4.252131,7.572665,2.140021,1.505992,-0.616947,0.601238,0.000000
3.335786,5.103656,-3.336548,-8.907833,7.023132,3.337158,0.298636,2.432404,0.000000
4.251369,7.240017,-1.810576,-20.810415,9.769882,3.031964,1.519414,4.263570,0.000000
4.861758,7.850405,-1.200187,-25.388331,8.854298,1.811186,1.519414,3.958376,0.000000
5.472146,6.934822,-0.589798,-33.018191,6.107549,1.811186,0.909025,0.906432,0.000000
4.556563,4.188073,0.325785,-43.699996,3.055605,1.505992,-0.006558,-1.229929,0.000000
1.504619,0.220545,0.325785,-44.615579,-0.301534,-0.019980,-0.616947,-0.924734,0.000000
-1.242131,-2.221010,-1.200187,-33.628580,-3.353478,-0.325175,-0.311753,-0.009151,0.000000
-1.242131,-0.389844,-2.726159,-25.998720,-2.743089,2.726769,1.214219,-0.619540,0.000000
0.283841,3.577684,-2.420965,-32.407803,0.919244,6.999491,3.045386,-2.755901,0.000000
2.420202,6.019239,-1.505382,-43.699996,3.971188,6.999491,3.655774,-2.145512,0.000000
3.946174,5.408850,-1.200187,-47.362329,2.750410,3.642353,3.045386,0.601238,0.000000
5.166952,4.798461,-0.894993,-42.479218,0.308855,1.505992,1.214219,3.958376,0.000000
5.777341,6.629628,-0.894993,-35.764941,0.919244,1.200797,0.298636,4.873959,0.000000
6.387730,10.597155,-3.641743,-28.135081,3.360799,-1.240758,0.603830,5.789542,0.000000
8.829285,15.175071,-6.998881,-18.674054,3.055605,-6.429063,0.603830,6.705126,0.000000
11.881229,18.532210,-7.304075,-9.823416,-0.301534,-7.649840,0.909025,5.789542,0.000000
12.796812,16.701043,-2.420965,-7.076667,-3.353478,-2.156341,1.519414,1.822015,0.000000
8.218896,9.681572,3.682923,-8.602639,-3.353478,3.947547,2.129802,-2.145512,0.000000
1.199425,1.136129,6.429673,-7.992250,-1.827506,4.557936,0.298636,-3.061095,0.000000
-3.378491,-2.526204,5.208895,-0.972779,-0.606728,0.285214,-3.363697,-0.924734,0.000000
-5.209658,-1.610621,3.988118,8.488248,0.003661,-3.987508,-7.026030,0.601238,0.000000
-5.514852,0.525740,3.072534,13.981747,0.614049,-5.818674,-7.026030,0.601238,0.000000
-5.820047,1.746517,0.936174,15.507719,0.003661,-6.123868,-3.668891,-0.314346,0.000000
-4.599269,2.051712,-1.505382,19.475247,-1.522312,-4.903091,-0.006558,-0.619540,0.000000
-1.852519,3.577684,-3.641743,28.325885,-1.522312,-3.071924,1.824608,-0.009151,0.000000
0.589036,4.493267,-3.641743,35.040162,-0.301534,-2.156341,2.129802,1.211626,0.000000
0.894230,3.577684,-3.336548,32.293412,-0.301534,-3.377119,0.909025,0.906432,0.000000
-0.631742,0.220545,-1.505382,27.410301,-2.132700,-4.292702,-0.616947,-0.314346,0.000000
-2.768103,-2.221010,1.851757,32.598606,-3.353478,-2.156341,-1.532530,-1.840318,0.000000
-3.378491,-3.136593,5.514090,44.806383,-2.132700,0.895603,-1.227336,-0.619540,0.000000
-3.073297,-1.915816,6.429673,48.468715,-0.301534,2.726769,-0.922142,1.516821,0.000000
-3.073297,-1.305427,3.988118,39.923272,0.614049,2.726769,-1.227336,2.432404,0.000000
-3.988880,-1.915816,1.851757,32.598606,0.919244,2.421575,-0.922142,0.601238,0.000000
-5.820047,-3.136593,2.462146,34.734967,1.529633,2.726769,-0.311753,-0.924734,0.000000
-7.346019,-3.441788,3.377729,34.734967,2.445216,2.116381,-0.006558,-0.924734,0.000000
-7.651213,-3.136593,2.767340,23.137580,2.140021,0.590409,-0.311753,-0.924734,0.000000
-7.651213,-3.441788,1.546562,10.929803,0.614049,-0.019980,-0.616947,-2.450707,0.000000
-7.651213,-4.662565,1.546562,10.014220,-1.217117,1.200797,-0.311753,-4.892262,0.000000
-7.651213,-4.357371,1.851757,12.455775,-2.743089,3.337158,0.298636,-5.197456,0.000000
-7.346019,-2.831399,0.936174,2.994749,-2.132700,3.947547,0.603830,-3.671484,0.000000
-6.125241,-1.305427,0.020590,-13.790944,-0.911923,3.031964,0.603830,-1.840318,0.000000
-5.209658,-1.915816,0.020590,-22.946776,-0.301534,1.200797,-0.006558,-0.619540,0.000000
-5.209658,-3.441788,1.241368,-23.251970,-1.217117,-0.019980,-0.616947,1.516821,0.000000
-5.820047,-4.052176,3.072534,-28.440275,-1.827506,-0.630369,-1.532530,4.263570,0.000000
-6.125241,-3.746982,2.767340,-40.037663,-0.606728,-0.935563,-1.837725,5.179154,0.000000
-5.820047,-2.526204,1.546562,-42.784412,0.614049,0.285214,-0.922142,2.737598,0.000000
-5.209658,-1.000232,0.936174,-32.102608,0.919244,2.116381,-0.006558,-0.009151,0.000000
-5.209658,0.220545,1.241368,-22.641582,0.003661,2.116381,-0.006558,-1.229929,0.000000
-5.514852,0.525740,0.936174,-28.135081,-1.217117,-0.019980,-0.006558,-1.840318,0.000000
-4.904463,-0.084649,-0.284604,-40.342857,-2.132700,-0.935563,-0.006558,-3.061095,0.000000
-3.073297,-0.084649,-1.505382,-43.699996,-3.963867,1.200797,0.603830,-3.976679,0.000000
-0.936936,1.136129,-1.200187,-37.290913,-6.405422,3.947547,0.298636,-1.840318,0.000000
0.283841,2.051712,-0.284604,-32.407803,-6.100228,3.642353,-0.616947,1.211626,0.000000
1.809814,2.051712,-0.284604,-32.102608,-2.437895,3.031964,-1.532530,2.432404,0.000000
3.640980,2.356906,-0.589798,-26.609109,1.834827,5.168325,-0.616947,0.601238,0.000000
5.166952,3.882878,-0.284604,-13.485749,4.276382,8.830658,0.909025,-0.619540,0.000000
4.861758,3.577684,0.020590,-4.024723,4.581577,8.830658,2.129802,-0.314346,0.000000
2.725397,0.525740,0.020590,-5.855889,4.276382,5.778714,1.519414,-0.009151,0.000000
0.589036,-1.915816,0.325785,-10.739000,4.581577,3.642353,-0.006558,-0.619540,0.000000
-0.021353,-1.000232,0.325785,-4.940306,5.191965,3.947547,-0.311753,-0.924734,0.000000
-0.021353,0.830934,-2.115771,9.098637,4.581577,3.337158,0.298636,-0.009151,0.000000
-0.326547,0.220545,-6.693687,17.949275,3.055605,2.421575,1.519414,-0.619540,0.000000
-0.631742,-3.746982,-7.304075,18.254469,0.308855,2.726769,2.740191,-2.755901,0.000000
-0.021353,-11.376842,-2.115771,20.085636,-3.048284,2.421575,3.350580,-3.671484,0.000000
1.199425,-24.500202,2.462146,29.546662,-6.710616,-0.325175,3.350580,-1.840318,0.000000
-0.021353,-42.811866,1.851757,35.955745,-8.846977,-1.851147,3.045386,-0.314346,0.000000
-2.462908,-59.597559,-1.810576,31.683023,-8.236589,2.116381,3.960969,-1.840318,0.000000
-3.683686,-68.448196,-4.862520,26.189524,-4.574256,8.525463,5.792135,-4.281873,0.000000
-3.073297,-69.363780,-7.914464,31.377829,1.224438,8.525463,6.402524,-4.281873,0.000000
